"","tank","week","Mb","mba","mba1","pp.N","AvgS","CMb","Cmba","Cmba1","C.N","CAvgS","OMb","Omba","Omba1","O.N","OAvgS"
"1",1,0,3189.44577015153,46.5118042328185,5.30624177662111,17,187.614457067737,1966.31060013083,84.4794536927767,1.23675414042991,5,393.262120026167,1223.1351700207,30.6919502911693,4.0694876361912,12,101.927930835058
"2",1,1,54836.1453874143,153.39161800897,23.7202581806949,44,1246.27603153214,4107.02202568894,49.2260574945792,17.0707677878368,17,241.589530922879,50729.1233617254,218.977341295808,6.64949039285809,27,1878.85642080464
"3",1,2,43466.0557724481,57.7551288607303,50.7738666903797,189,229.979131071154,7253.73055449276,32.0749384557138,22.4746436240497,71,102.165219077363,36212.3252179553,73.2067688501893,28.2992230663299,118,306.884112016571
"4",1,6,61029.48201767,56.6072442430657,66.6856299649803,235,259.699923479447,25613.2694396801,50.2922119357331,29.4698404735259,96,266.804889996668,35416.2125779899,60.9687054049645,37.2157894914544,139,254.792896244532
"5",1,7,81089.9921897728,73.4474467016947,64.1341832901609,262,309.503786983866,1793.3663333765,47.3187843486955,3.70754014414212,8,224.170791672062,79296.6258563963,74.2703966970648,60.4266431460188,254,312.191440379513
"6",2,0,2786.45475091163,47.746746320259,4.61457535711738,15,185.763650060775,13.1738205621533,6.91486662493247,0.524894550696858,1,13.1738205621533,2773.28093034948,50.6633091556394,4.08968080642052,14,198.091495024963
"7",2,1,57679.2535445533,227.479296322617,9.08698047229105,28,2059.9733408769,7501.76363265431,164.774927682002,3.24710939152075,5,1500.35272653086,50177.489911899,241.110680809707,5.8398710807703,23,2181.62999616952
"8",2,2,77267.1912891018,52.5609805743324,104.741278921716,377,204.952762040058,19859.8127559239,32.4343680532964,60.2050260297679,192,103.436524770437,57407.3785331779,73.4491405961644,44.5362528919484,185,310.310154233394
"9",2,6,57550.167356778,52.2993679258382,78.108703870616,278,207.014990492007,9036.16750859826,46.3130575571578,14.7954986509979,50,180.723350171965,48513.9998481798,53.6121552873909,63.3132052196181,228,212.780701088508
"10",2,7,20819.5581752934,55.5831163166936,29.061089922981,93,223.866216938638,23.1049892502448,2.0281377374491,7.11011612920945,9,2.56722102780498,20796.4531860431,61.3211497358984,21.9509737937716,84,247.576823643371
"11",3,0,10584.409783928,162.533353531424,2.18873970335545,8,1323.051222991,586.479183529987,119.17617745243,0.203206150873276,1,586.479183529987,9997.93060039803,168.727235828423,1.98553355248217,7,1428.27580005686
"12",3,1,11664.7741606136,16.1297030426451,115.731410987386,226,51.6140449584673,8127.23179166854,13.0649726911999,112.800941274952,214,37.9777186526567,3537.54236894508,70.7840609767508,2.93046971243342,12,294.79519741209
"13",3,2,118835.790552639,59.6235778157455,131.402559706265,497,239.106218415772,17997.9553100561,32.4343680532964,54.5608048394772,174,103.436524770437,100837.835242583,74.2703966970648,76.8417548667877,323,312.191440379513
"14",3,6,59638.7604629049,52.0102612468184,83.9503171190644,296,201.482298861165,14276.974413446,31.9873707329745,45.6272078353136,140,101.978388667472,45361.7860494588,69.9795219643706,38.3231092837509,156,290.780679804223
"15",3,7,19362.4452528002,61.8993832255227,24.1695686768424,74,261.654665578381,2402.55281360427,30.2638742077094,10.3065882983128,17,141.326636094369,16959.8924391959,71.334535037853,13.8629803785296,57,297.541972617473
"16",4,0,44679.1436300905,277.863404122473,4.3821660309651,18,2482.17464611614,NA,NA,NA,NA,NA,44679.1436300905,277.863404122473,4.3821660309651,18,2482.17464611614
"17",4,1,14599.6312519346,85.8574149027767,7.14752070669886,22,663.619602360665,1233.44597327692,36.4013465580082,3.13440231569724,9,137.049552586324,13366.1852786577,120.096231449155,4.01311839100162,13,1028.16809835828
"18",4,2,58103.9800991917,65.9121156964743,53.0118287999463,198,293.454444945412,8701.84190127888,32.1341386247274,26.8645934387203,85,102.374610603281,49402.1381979128,91.3203285380539,26.147235361226,113,437.187063698343
"19",4,6,53062.4465886833,60.4850827913025,58.0149332938996,201,263.992271585489,18947.0798571598,52.360269395247,25.4450166779369,73,259.549039139175,34115.3667315236,65.1187654312404,32.5699166159627,128,266.526302590028
"20",4,7,52412.6098811548,63.1441139249507,58.2227886876062,199,263.379949151532,1935.86722107996,16.0979859656935,16.7188112485358,29,66.7540421062056,50476.7426600749,71.1696298709416,41.5039774390704,170,296.922015647499
"21",5,0,33773.2210936255,519.007834148306,1.32704733543636,7,4824.74587051792,15510.6299772699,574.971435824895,0.418392683388855,3,5170.2099924233,18262.5911163556,477.035132890865,0.908654652047508,4,4565.64777908889
"22",5,1,10872.8430472944,102.167347831746,5.27963717837207,14,776.631646235312,207.039823638778,21.7099032102254,2.19196816098247,3,69.0132745462593,10665.8032236556,124.110287273979,3.0876690173896,11,969.61847487778
"23",5,2,70780.4376285577,53.1316706354133,94.216985192725,338,209.409578782715,17610.5568520986,32.1376296645945,54.3563225652507,172,102.386958442434,53169.8807764591,74.8845323642134,39.8606626274743,166,320.300486605175
"24",5,6,47438.2532119056,63.3988403815057,54.0512588430083,155,306.053246528423,5691.69323284561,31.2283186984978,28.1735212527353,51,111.601828095012,41746.5599790599,79.17476928375,25.8777375902731,104,401.409230567884
"25",5,7,241207.893471539,71.9194452458649,198.535990838486,800,301.509866839424,132.87073898707,4.41430031520034,11.2093058565395,18,7.38170772150391,241075.022732552,73.4732721112766,187.326684981946,782,308.280080220655
"26",6,0,1902.54128993259,36.4166041939949,6.9785824460827,13,146.349329994814,626.334193412254,23.4071207292324,4.90755474930862,6,104.389032235376,1276.20709652033,47.5675900209342,2.07102769677407,7,182.315299502905
